epoch,steps,train_loss,train_psnr,best_train_psnr,train_ssim,best_train_ssim,val_loss,val_psnr,best_val_psnr,val_ssim,best_val_ssim
1,14,0.2618968164920807,13.33,13.33,0.2065,0.2065,0.1660121351480484,15.44,15.44,0.4338,0.4338
2,27,0.1364707300066948,17.37,17.37,0.3516,0.3516,0.2426197856664657,11.66,15.44,0.3825,0.4338
3,40,0.1157858425378799,19.77,19.77,0.4845,0.4845,0.101618418097496,21.99,21.99,0.4248,0.4338
4,53,0.1102999651432037,19.72,19.77,0.4847,0.4847,0.1216723218560218,17.81,21.99,0.4377,0.4377
5,66,0.0886832338571548,21.09,21.09,0.5444,0.5444,0.0933176606893539,23.1,23.1,0.5513,0.5513
6,79,0.081624037027359,21.37,21.37,0.5219,0.5444,0.0803120970726013,23.11,23.11,0.4606,0.5513
7,92,0.0627238255739212,22.58,22.58,0.604,0.604,0.0918962880969047,22.97,23.11,0.5866,0.5866
8,105,0.0608406163752079,22.75,22.75,0.6253,0.6253,0.0632156446576118,23.71,23.71,0.6566,0.6566
9,118,0.0612791004776954,22.96,22.96,0.73,0.73,0.1139296904206275,19.89,23.71,0.6707,0.6707
10,131,0.0625426979362964,23.12,23.12,0.7105,0.73,0.0638473629951477,24.43,24.43,0.6197,0.6707
11,144,0.0609303404390811,22.89,23.12,0.6523,0.73,0.0478607408702373,24.52,24.52,0.714,0.714
12,157,0.0484334802627563,23.82,23.82,0.7145,0.73,0.0373025923967361,25.84,25.84,0.7279,0.7279
13,170,0.043095778375864,24.73,24.73,0.7456,0.7456,0.0394422929733991,26.01,26.01,0.7186,0.7279
14,183,0.0422476515173912,24.78,24.78,0.7462,0.7462,0.0396546058356761,25.8,26.01,0.7043,0.7279
15,196,0.0440712316334247,24.72,24.78,0.7776,0.7776,0.042979235574603,25.58,26.01,0.6915,0.7279
16,209,0.0548405775427818,24.14,24.78,0.7498,0.7776,0.0579309590160846,25.17,26.01,0.7235,0.7279
17,222,0.0485128018260002,25.16,25.16,0.7721,0.7776,0.0399110071361064,25.88,26.01,0.7362,0.7362
18,235,0.0454268635809421,24.87,25.16,0.7316,0.7776,0.0319251023232936,27.5,27.5,0.772,0.772
19,248,0.0392385824024677,25.74,25.74,0.7817,0.7817,0.0443842604756355,26.0,27.5,0.7702,0.772
20,261,0.0437105153501033,25.58,25.74,0.8015,0.8015,0.0584400087594986,24.08,27.5,0.7901,0.7901
21,274,0.0500308310985565,24.7,25.74,0.781,0.8015,0.0443295329809188,27.31,27.5,0.7765,0.7901
22,287,0.0440655137598514,25.77,25.77,0.7631,0.8015,0.0311922259628772,28.15,28.15,0.7866,0.7901
23,300,0.045898793041706,25.47,25.77,0.7797,0.8015,0.0327069796621799,27.99,28.15,0.7955,0.7955
24,313,0.0562435185909271,24.54,25.77,0.7652,0.8015,0.0463446445763111,25.96,28.15,0.7888,0.7955
25,326,0.0538134089112281,25.13,25.77,0.7714,0.8015,0.050327019393444,24.5,28.15,0.781,0.7955
26,339,0.0444368728995323,26.16,26.16,0.7934,0.8015,0.0518406122922897,24.84,28.15,0.7635,0.7955
27,352,0.0455836741626262,26.15,26.16,0.7925,0.8015,0.0600491315126419,25.09,28.15,0.8039,0.8039
28,365,0.0407853503525257,27.46,27.46,0.8118,0.8118,0.050861919671297,26.49,28.15,0.8017,0.8039
29,378,0.0409896379709243,27.09,27.46,0.7787,0.8118,0.0529120780527591,25.05,28.15,0.8086,0.8086
30,391,0.0405961532890796,26.94,27.46,0.7624,0.8118,0.0316452305763959,28.3,28.3,0.8145,0.8145
31,404,0.0401289191842079,27.19,27.46,0.7789,0.8118,0.0342427294701337,28.36,28.36,0.8197,0.8197
32,417,0.0424144220352172,26.91,27.46,0.7663,0.8118,0.0379310015588998,26.64,28.36,0.814,0.8197
33,430,0.0434102725982666,27.55,27.55,0.7952,0.8118,0.0380733735859394,28.56,28.56,0.8174,0.8197
34,443,0.0418109679222106,27.92,27.92,0.8074,0.8118,0.0357405971735715,27.29,28.56,0.8209,0.8209
35,456,0.0417783215641975,27.67,27.92,0.8033,0.8118,0.0344129242002964,27.66,28.56,0.8267,0.8267
36,469,0.0368100829422473,27.98,27.98,0.8063,0.8118,0.0363716594874858,27.53,28.56,0.826,0.8267
37,482,0.0352267375588417,28.53,28.53,0.8122,0.8122,0.036273230984807,27.95,28.56,0.8259,0.8267
38,495,0.0332928001880645,29.41,29.41,0.8489,0.8489,0.0362103912979364,27.4,28.56,0.8235,0.8267
39,508,0.036296168193221,28.13,29.41,0.8125,0.8489,0.0433141067624092,25.45,28.56,0.819,0.8267
40,521,0.0361167268455028,28.57,29.41,0.8261,0.8489,0.0362848818302154,27.17,28.56,0.8134,0.8267
